GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
springboot-course-1,com.accolite.course.exception,NoContentException,56,0,0,0,24,0,12,0,12,0
springboot-course-1,com.accolite.course,CourseApplication,8,0,0,0,3,0,2,0,2,0
springboot-course-1,com.accolite.course.configs,SwaggerConfig,37,0,0,0,9,0,3,0,3,0
springboot-course-1,com.accolite.course.service,CourseService,549,0,26,0,133,0,32,0,19,0
springboot-course-1,com.accolite.course.entities,Skill,43,0,0,0,13,0,7,0,7,0
springboot-course-1,com.accolite.course.entities,Creator,43,0,0,0,13,0,7,0,7,0
springboot-course-1,com.accolite.course.entities,StudentEntity,46,0,0,0,11,0,8,0,8,0
springboot-course-1,com.accolite.course.entities,CourseEntity,106,0,0,0,27,0,18,0,18,0
springboot-course-1,com.accolite.course.models,Course,106,0,0,0,27,0,18,0,18,0
springboot-course-1,com.accolite.course.models,Student,46,0,0,0,11,0,8,0,8,0
springboot-course-1,com.accolite.course.models,Item,36,0,0,0,16,0,8,0,8,0
springboot-course-1,com.accolite.course.models,Mail,46,0,0,0,11,0,8,0,8,0
springboot-course-1,com.accolite.course.controller,CourseController,150,0,2,0,39,0,12,0,11,0
